Fecha,Precio dolar,Precio euro
Noviembre 2022,"95,23 $","96,92 €"
Octubre 2022,"93,57 $","95,23 €"
Septiembre 2022,"95,35 $","96,27 €"
Agosto 2022,"101,90 $","100,61 €"
Julio 2022,"108,60 $","106,69 €"
Junio 2022,"117,72 $","111,41 €"
Mayo 2022,"113,94 $","107,71 €"
Abril 2022,"105,52 $","97,53 €"
Marzo 2022,"113,61 $","103,10 €"
Febrero 2022,"94,21 $","83,06 €"
Enero 2022,"85,40 $","75,48 €"
Diciembre 2021,"74,37 $","65,79 €"
Noviembre 2021,"80,34 $","70,39 €"
Octubre 2021,"82,07 $","70,74 €"
Septiembre 2021,"73,89 $","62,78 €"
Agosto 2021,"70,33 $","59,74 €"
Julio 2021,"73,52 $","62,19 €"
Junio 2021,"71,89 $","59,67 €"
Mayo 2021,"66,91 $","55,09 €"
Abril 2021,"63,25 $","52,80 €"
Marzo 2021,"64,57 $","54,27 €"
Febrero 2021,"61,04 $","50,45 €"
Enero 2021,"54,38 $","44,68 €"
Diciembre 2020,"49,17 $","40,40 €"
Noviembre 2020,"42,61 $","35,99 €"
Octubre 2020,"40,08 $","34,04 €"
Septiembre 2020,"41,54 $","35,23 €"
Agosto 2020,"44,97 $","38,02 €"
Julio 2020,"43,42 $","37,88 €"
Junio 2020,"37,05 $","32,92 €"
Mayo 2020,"24,97 $","22,90 €"
Abril 2020,"17,64 $","16,24 €"
Marzo 2020,"33,91 $","30,65 €"
Febrero 2020,"55,49 $","50,88 €"
Enero 2020,"65,11 $","58,66 €"
Diciembre 2019,"66,48 $","59,82 €"
Noviembre 2019,"62,94 $","56,95 €"
Octubre 2019,"59,87 $","54,17 €"
Septiembre 2019,"62,36 $","56,67 €"
Agosto 2019,"59,69 $","53,65 €"
Julio 2019,"64,71 $","57,68 €"
Junio 2019,"62,92 $","55,72 €"
Mayo 2019,"69,97 $","62,56 €"
Abril 2019,"70,73 $","62,94 €"
Marzo 2019,"66,37 $","58,72 €"
Febrero 2019,"63,82 $","56,22 €"
Enero 2019,"58,74 $","51,45 €"
Diciembre 2018,"56,94 $","50,02 €"
Noviembre 2018,"65,33 $","57,47 €"
Octubre 2018,"79,58 $","69,30 €"
Septiembre 2018,"77,18 $","66,20 €"
Agosto 2018,"72,28 $","62,59 €"
Julio 2018,"73,25 $","62,68 €"
Junio 2018,"73,00 $","62,51 €"
Mayo 2018,"74,12 $","62,75 €"
Abril 2018,"68,30 $","55,64 €"
Marzo 2018,"63,65 $","51,60 €"
Febrero 2018,"63,46 $","51,39 €"
Enero 2018,"66,85 $","54,80 €"
Diciembre 2017,"62,06 $","52,43 €"
Noviembre 2017,"60,74 $","51,75 €"
Octubre 2017,"55,36 $","47,09 €"
Septiembre 2017,"53,41 $","44,83 €"
Agosto 2017,"49,61 $","42,02 €"
Julio 2017,"46,93 $","40,77 €"
Junio 2017,"45,21 $","40,26 €"
Mayo 2017,"49,17 $","44,47 €"
Abril 2017,"51,47 $","48,00 €"
Enero 2017,"52,35 $","49,32 €"
Diciembre 2016,"51,68 $","49,02 €"
Noviembre 2016,"43,22 $","40,02 €"
Octubre 2016,"47,86 $","43,41 €"
Septiembre 2016,"42,89 $","38,25 €"
Agosto 2016,"43,10 $","38,44 €"
Julio 2016,"42,68 $","38,56 €"
Junio 2016,"45,82 $","40,81 €"
Mayo 2016,"43,20 $","38,19 €"
Abril 2016,"37,85 $","33,38 €"
Marzo 2016,"34,64 $","31,21 €"
Febrero 2016,"28,71 $","25,88 €"
Enero 2016,"26,50 $","24,40 €"
Diciembre 2015,"33,67 $","30,96 €"
Noviembre 2015,"40,50 $","37,72 €"
Octubre 2015,"45,04 $","40,09 €"
Septiembre 2015,"44,82 $","39,94 €"
Agosto 2015,"45,46 $","40,81 €"
Julio 2015,"54,14 $","49,24 €"
Junio 2015,"60,22 $","53,71 €"
Mayo 2015,"62,15 $","55,74 €"
Abril 2015,"57,06 $","52,94 €"
Marzo 2015,"52,47 $","48,41 €"
Febrero 2015,"54,06 $","47,63 €"
Enero 2015,"44,40 $","38,21 €"
Diciembre 2014,"60,23 $","48,84 €"
Noviembre 2014,"75,57 $","60,59 €"
Octubre 2014,"85,07 $","67,13 €"
Septiembre 2014,"95,98 $","74,40 €"
Agosto 2014,"100,76 $","75,67 €"
Julio 2014,"105,61 $","78,00 €"
Junio 2014,"107,90 $","79,38 €"
Mayo 2014,"105,44 $","76,78 €"
Abril 2014,"104,28 $","75,49 €"
Marzo 2014,"104,15 $","75,35 €"
Febrero 2014,"105,38 $","77,15 €"
Enero 2014,"104,75 $","76,97 €"
Diciembre 2013,"107,67 $","78,57 €"
Noviembre 2013,"104,96 $","77,79 €"
Octubre 2013,"106,69 $","78,25 €"
Septiembre 2013,"108,73 $","81,46 €"
Agosto 2013,"107,52 $","80,78 €"
Julio 2013,"104,45 $","79,85 €"
Junio 2013,"101,03 $","76,60 €"
