Fecha,Super 95,Super 95 (Sin imp.),Diesel,Diesel (Sin imp.),Diesel Cal.,Diesel Cal. (Sin imp.),Pais
2022-10-31,1.76,0.982,1.971,1.25,1.418,1.075,España
2022-10-24,1.763,0.985,1.973,1.252,1.438,1.092,España
2022-10-17,1.757,0.979,1.949,1.232,1.481,1.127,España
2022-10-10,1.711,0.941,1.857,1.155,1.391,1.053,España
2022-10-03,1.676,0.913,1.808,1.116,1.31,0.986,España
2022-09-26,1.681,0.917,1.822,1.127,1.307,0.984,España
2022-09-19,1.709,0.94,1.868,1.165,1.322,0.996,España
2022-09-12,1.749,0.972,1.906,1.196,1.379,1.043,España
2022-09-05,1.78,0.998,1.921,1.209,1.395,1.056,España
2022-08-29,1.794,1.01,1.883,1.177,1.368,1.034,España
2022-08-22,1.787,1.004,1.816,1.122,1.331,1.004,España
2022-08-15,1.798,1.013,1.806,1.114,1.253,0.939,España
2022-08-08,1.861,1.065,1.854,1.153,1.346,1.016,España
2022-08-01,1.903,1.1,1.893,1.186,1.399,1.06,España
2022-07-25,1.955,1.143,1.933,1.219,1.435,1.09,España
2022-07-18,2.026,1.202,1.972,1.25,1.477,1.124,España
2022-07-11,2.073,1.24,2.023,1.292,1.502,1.145,España
2022-07-04,2.113,1.274,2.076,1.337,1.563,1.195,España
2022-06-27,2.129,1.286,2.1,1.357,1.586,1.214,España
2022-06-20,2.142,1.297,2.077,1.337,1.594,1.22,España
2022-06-13,2.117,1.277,2.004,1.277,1.523,1.162,España
2022-06-06,2.049,1.22,1.917,1.205,1.432,1.087,España
2022-05-30,1.968,1.154,1.852,1.152,1.369,1.035,España
2022-05-23,1.94,1.131,1.867,1.164,1.336,1.007,España
2022-05-16,1.898,1.096,1.887,1.181,1.355,1.023,España
2022-05-09,1.878,1.08,1.911,1.201,1.393,1.054,España
2022-05-02,1.837,1.046,1.873,1.169,1.352,1.021,España
2022-04-25,1.817,1.029,1.847,1.148,1.375,1.039,España
2022-04-11,1.591,0.842,1.614,0.955,1.314,0.99,España
2022-04-04,1.613,0.86,1.647,0.982,1.315,0.99,España
2022-03-28,1.818,1.03,1.837,1.139,1.391,1.053,España
2022-03-21,1.813,1.026,1.798,1.107,1.339,1.01,España
2022-03-14,1.845,1.052,1.817,1.123,1.393,1.055,España
2022-03-07,1.68,0.916,1.581,0.928,1.175,0.874,España
2022-02-28,1.609,0.857,1.497,0.858,0.995,0.726,España
2022-02-21,1.592,0.843,1.479,0.844,0.973,0.708,España
2022-02-14,1.575,0.829,1.463,0.83,0.954,0.692,España
2022-02-07,1.559,0.816,1.444,0.815,0.951,0.689,España
2022-01-31,1.538,0.798,1.422,0.796,0.915,0.66,España
2022-01-24,1.52,0.784,1.404,0.781,0.909,0.654,España
2022-01-17,1.502,0.769,1.381,0.762,0.869,0.622,España
2022-01-10,1.49,0.758,1.36,0.745,0.858,0.613,España
2022-01-03,1.48,0.75,1.347,0.734,0.83,0.589,España
2021-12-20,1.476,0.748,1.344,0.732,0.815,0.577,España
2021-12-13,1.48,0.75,1.347,0.734,0.81,0.572,España
2021-12-06,1.488,0.757,1.355,0.741,0.83,0.589,España
2021-11-29,1.509,0.775,1.377,0.759,0.85,0.605,España
2021-11-22,1.513,0.778,1.381,0.762,0.849,0.605,España
2021-11-15,1.513,0.778,1.386,0.766,0.861,0.615,España
2021-11-08,1.51,0.775,1.384,0.765,0.855,0.61,España
2021-11-01,1.506,0.772,1.382,0.763,0.86,0.614,España
2021-10-25,1.497,0.765,1.374,0.756,0.855,0.61,España
2021-10-18,1.484,0.754,1.358,0.743,0.842,0.599,España
2021-10-11,1.467,0.739,1.335,0.725,0.826,0.586,España
2021-10-04,1.448,0.724,1.309,0.703,0.792,0.558,España
2021-09-27,1.437,0.715,1.291,0.688,0.771,0.54,España
2021-09-20,1.437,0.715,1.28,0.679,0.758,0.53,España
2021-09-13,1.429,0.708,1.271,0.671,0.744,0.518,España
2021-09-06,1.421,0.702,1.266,0.667,0.741,0.516,España
2021-08-30,1.414,0.696,1.259,0.661,0.723,0.501,España
2021-08-23,1.415,0.697,1.26,0.663,0.725,0.502,España
2021-08-16,1.418,0.699,1.266,0.667,0.738,0.513,España
2021-08-09,1.42,0.701,1.27,0.671,0.755,0.527,España
2021-08-02,1.416,0.698,1.27,0.67,0.748,0.521,España
2021-07-26,1.408,0.691,1.264,0.665,0.726,0.503,España
2021-07-19,1.409,0.692,1.268,0.669,0.74,0.515,España
2021-07-12,1.401,0.685,1.263,0.664,0.738,0.513,España
2021-07-05,1.391,0.677,1.254,0.657,0.739,0.514,España
2021-06-28,1.383,0.67,1.247,0.651,0.731,0.508,España
2021-06-21,1.374,0.663,1.238,0.644,0.725,0.502,España
2021-06-14,1.367,0.657,1.232,0.639,0.709,0.489,España
2021-06-07,1.359,0.65,1.221,0.63,0.694,0.477,España
2021-05-31,1.351,0.644,1.212,0.623,0.687,0.471,España
2021-05-24,1.351,0.644,1.211,0.622,0.691,0.474,España
2021-05-17,1.351,0.644,1.208,0.619,0.696,0.479,España
2021-05-10,1.344,0.638,1.2,0.613,0.686,0.471,España
2021-05-03,1.332,0.628,1.188,0.603,0.673,0.459,España
2021-04-26,1.326,0.624,1.183,0.599,0.673,0.459,España
